,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
2,Aaronsohn,A.,,,,,,,"Aaronsohn, A.",3,https://je.jacq.org/JE00010154,4221,"Aaronsohn, A.","Aaronsohn, A.",0.0
7,Abbe,E.C.,,,,,,,"Abbe, E.C.",2,https://herbarium.bgbm.org/object/B100241637,1619,"Abbe, E.C.","Abbe, E.C.",0.0
11,Abbott,J.R.,,,,,,,"Abbott, J.R.",80,https://herbarium.bgbm.org/object/B100181131,13793,"Abbott, J.R.","Abbott, J.R.",0.0
13,Abbott,W.L.,,,,,,,"Abbott, W.L.",4,http://id.snsb.info/snsb/collection/504820/626155/283761,19179,"Abbott, W.L.","Abbott, W.L.",0.0
19,Abedin,S.,,,,,,,"Abedin, S.",14,https://herbarium.bgbm.org/object/B100046632,2401,"Abedin, S.","Abedin, S.",0.0
32,Acebey,A.,,,,,,,"Acebey, A.",6,http://id.snsb.info/snsb/collection/719469/786048/423570,16746,"Acebey, A.","Acebey, A.",0.0
45,Ackermann,M.,,,,,,,"Ackermann, M.",34,http://id.snsb.info/snsb/collection/444683/544886/227537,7759,"Ackermann, M.","Ackermann, M.",0.0
48,Acocks,J.P.H.,,,,,,,"Acocks, J.P.H.",17,http://id.snsb.info/snsb/collection/15773/24491/15593,3569,"Acocks, J.P.H.","Acocks, J.P.H.",0.0
50,Acosta,J.M.,,,,,,,"Acosta, J.M.",3,https://herbarium.bgbm.org/object/B101009972,12005,"Acosta, J.M.","Acosta, J.M.",0.0
51,Acosta,L.,,,,,,,"Acosta, L.",538,https://herbarium.bgbm.org/object/B100542413,12472,"Acosta, L.","Acosta, L.",0.0
63,Adamović,L.,,,,,,,"Adamović, L.",36,https://je.jacq.org/JE00017664,8079,"Adamović, L.","Adamović, L.",0.0
64,Adamovič,L.,,,,,,,"Adamovič, L.",3,http://id.snsb.info/snsb/collection/464847/566421/243693,11686,"Adamovič, L.","Adamović, L.",0.0
67,Adams,C.D.,,,,,,,"Adams, C.D.",7,http://id.snsb.info/snsb/collection/25541/34319/25105,17402,"Adams, C.D.","Adams, C.D.",0.0
69,Adams,L.G.,,,,,,,"Adams, L.G.",5,https://herbarium.bgbm.org/object/B100365285,13438,"Adams, L.G.","Adams, L.G.",0.0
73,Adamson,J.,,,,,,,"Adamson, J.",1,https://herbarium.bgbm.org/object/B100057312,9157,"Adamson, J.","Adamson, J.",0.0
77,Ade,A.,,,,,,,"Ade, A.",4,http://id.snsb.info/snsb/collection/513255/635847/292856,2255,"Ade, A.","Ade, A.",0.0
89,Adler,W.,,,,,,,"Adler, W.",6,https://herbarium.bgbm.org/object/B101191388,18189,"Adler, W.","Adler, W.",0.0
91,Adolphi,K.,,,,,,,"Adolphi, K.",3,https://herbarium.bgbm.org/object/B100463717,16870,"Adolphi, K.","Adolphi, K.",0.0
93,Adıgüzel,N.,,,,,,,"Adıgüzel, N.",1,https://je.jacq.org/JE00013121,4728,"Adıgüzel, N.","Adıgüzel, N.",0.0
95,Aedo,C.,,,,,,,"Aedo, C.",53,https://herbarium.bgbm.org/object/B101037507,4859,"Aedo, C.","Aedo, C.",0.0
96,Aellen,P.,,,,,,,"Aellen, P.",66,http://id.snsb.info/snsb/collection/459127/559829/237976,12725,"Aellen, P.","Aellen, P.",0.0
103,Afonina,O.M.,,,,,,,"Afonina, O.M.",2,https://je.jacq.org/JE04009152,990,"Afonina, O.M.","Afonina, O.M.",0.0
107,Afzelius,A.,,,,,,,"Afzelius, A.",11,https://herbarium.bgbm.org/object/B100068937,9795,"Afzelius, A.","Afzelius, A.",0.0
112,Agnew,A.D.Q.,,,,,,,"Agnew, A.D.Q.",2,https://herbarium.bgbm.org/object/B100217805,1228,"Agnew, A.D.Q.","Agnew, A.D.Q.",0.0
115,Aguiar,C.,,,,,,,"Aguiar, C.",1,https://herbarium.bgbm.org/object/B101137576,17033,"Aguiar, C.","Aguiar, C.",0.0
120,Aguilar,J.,,,,,,,"Aguilar, J.",27,https://herbarium.bgbm.org/object/B100043178,15855,"Aguilar, J.","Aguilar, J.",0.0
125,Aguilar,R.,,,,,,,"Aguilar, R.",126,https://herbarium.bgbm.org/object/B100459555,16058,"Aguilar, R.","Aguilar, R.",0.0
126,Aguilella,A.,,,,,,,"Aguilella, A.",4,https://herbarium.bgbm.org/object/B100358370,10420,"Aguilella, A.","Aguilella, A.",0.0
131,Aguirre,J.,,,,,,,"Aguirre, J.",4,https://herbarium.bgbm.org/object/B300230830,2479,"Aguirre, J.","Aguirre, J.",0.0
134,Ahern,G.P.,,,,,,,"Ahern, G.P.",3,http://id.snsb.info/snsb/collection/645990/701050/351640,12988,"Ahern, G.P.","Ahern, G.P.",0.0
141,Ahles,H.E.,,,,,,,"Ahles, H.E.",1,https://herbarium.bgbm.org/object/B101224042,9873,"Ahles, H.E.","Ahles, H.E.",0.0
144,Ahmad,N.,,,,,,,"Ahmad, N.",2,https://herbarium.bgbm.org/object/B100848610,6245,"Ahmad, N.","Ahmad, N.",0.0
145,Ahmad,S.,,,,,,,"Ahmad, S.",4,https://herbarium.bgbm.org/object/B101097885,3032,"Ahmad, S.","Ahmad, S.",0.0
150,Ahti,T.T.,,,,,,,"Ahti, T.T.",15,https://herbarium.bgbm.org/object/B600325604,14736,"Ahti, T.T.","Ahti, T.T.",0.0
151,Ahumada,L.Z.,,,,,,,"Ahumada, L.Z.",1,http://id.snsb.info/snsb/collection/512566/635026/292131,14795,"Ahumada, L.Z.","Ahumada, L.Z.",0.0
